Colonia,Asentamiento,codigo_postal,Ciudad
14 de Diciembre,Colonia,50100,Toluca
2 de Marzo,Colonia,50285,Toluca
3 Caminos,Colonia,50020,Toluca
5 de Mayo,Colonia,50090,Toluca
Acuxtitla,Colonia,50258,Toluca
Agua Bendita,Colonia,50256,Toluca
Alcaltunco,Colonia,50290,Toluca
Alejandr¡a,Residencial,50260,Toluca
Almoloya de Ju rez,Ejido,50285,Toluca
Altamirano,Colonia,50130,Toluca
Am‚ricas,Colonia,50130,Toluca
Ampliaci¢n L zaro C rdenas,Colonia,50180,Toluca
Apilulco,Colonia,50257,Toluca
Armando Neyra Chavez,Colonia,50200,Toluca
Arroyo Vista Hermosa,Colonia,50236,Toluca
Aviaci¢n Autopan,Colonia,50295,Toluca
Azteca,Colonia,50180,Toluca
Balbuena,Barrio,50295,Toluca
Balcones de San Felipe,Fraccionamiento,50254,Toluca
Balcones Sant¡n,Fraccionamiento,50214,Toluca
Barrio San Gabriel,Colonia,50200,Toluca
Benito Ju rez,Colonia,50257,Toluca
Benito Ju rez,Colonia,50190,Toluca
Bordo de las Canastas,Fraccionamiento,50225,Toluca
Bordo Nuevo,Ejido,50290,Toluca
Bosques de Cantabria,Fraccionamiento,50210,Toluca
Bosques de Col¢n,Fraccionamiento,50180,Toluca
Bosques de la Mora,Fraccionamiento,50020,Toluca
Bosques de San Mateo,Colonia,50100,Toluca
Buenavista,Colonia,50273,Toluca
Cacalomac n Centro,Colonia,50265,Toluca
Calixtlahuaca,Pueblo,50280,Toluca
Campo Real,Unidad habitacional,50245,Toluca
Campo Real I,Fraccionamiento,50245,Toluca
Campo Real II,Fraccionamiento,50245,Toluca
Campo Real III,Unidad habitacional,50245,Toluca
Capultitl n Centro,Colonia,50260,Toluca
Carlos Hank Gonz lez,Colonia,50026,Toluca
Celanese,Colonia,50010,Toluca
Centro,Colonia,50000,Toluca
Centro SCT M‚xico,Gran usuario,50069,Toluca
Cerrillo Piedras Blancas,Colonia,50295,Toluca
Chichipicas,Colonia,50290,Toluca
Chupascliya,Colonia,50290,Toluca
Cient¡ficos,Colonia,50075,Toluca
Cipr‚s,Colonia,50120,Toluca
Club Jard¡n,Colonia,50010,Toluca
Col¢n,Residencial,50120,Toluca
Comisi¢n Federal de Electricidad,Colonia,50150,Toluca
Contra Caja,Colonia,50290,Toluca
Cristo Rey,Colonia,50255,Toluca
Cuauht‚moc,Colonia,50130,Toluca
Cultural,Colonia,50110,Toluca
De Atotonilco,Barrio,50103,Toluca
De Canaleja,Barrio,50220,Toluca
De Cristo Rey,Barrio,50263,Toluca
De Jes£s 1a. Secci¢n,Barrio,50290,Toluca
De Jes£s 2a. Secci¢n,Barrio,50290,Toluca
De Jes£s 3a. Secci¢n,Barrio,50294,Toluca
De la Crespa,Barrio,50016,Toluca
De la Cruz,Barrio,50263,Toluca
De Pueblo Nuevo,Barrio,50294,Toluca
De Santa Cruz,Barrio,50294,Toluca
De Santa Mar¡a,Barrio,50294,Toluca
De Tlanepantla,Barrio,50103,Toluca
De Tlayaca,Barrio,50103,Toluca
Del Campo,Colonia,50265,Toluca
Del Deporte,Colonia,50110,Toluca
Del Esp¡ritu Santo,Barrio,50263,Toluca
Del Pante¢n,Barrio,50010,Toluca
Del Pante¢n,Barrio,50254,Toluca
Del Pante¢n,Barrio,50265,Toluca
Del Parque,Colonia,50180,Toluca
Del Pozo,Barrio,50290,Toluca
Del Pozo Blanco,Barrio,50283,Toluca
Del Tejocote,Barrio,50295,Toluca
Doctores,Colonia,50060,Toluca
Dos R¡os,Colonia,50253,Toluca
Ejido Santa Cruz Atzcapotzaltongo,Colonia,50290,Toluca
El Balc¢n,Colonia,50010,Toluca
El Caj¢n,Ejido,50290,Toluca
El Calvario,Colonia,50253,Toluca
El Calvario,Colonia,50256,Toluca
El Calvario,Colonia,50284,Toluca
El Calvario,Colonia,50286,Toluca
El Canal,Colonia,50256,Toluca
El Carmen Totoltepec,Colonia,50240,Toluca
El Cerrillo Vista Hermosa,Colonia,50235,Toluca
El Cerrito,Colonia,50290,Toluca
El Cerro del Perico,Ejido,50290,Toluca
El Chamizal,Colonia,50258,Toluca
El Charco,Colonia,50019,Toluca
El Chorrito,Colonia,50265,Toluca
El Coecillo,Colonia,50246,Toluca
El C¢poro,Barrio,50050,Toluca
El Cruzado,Colonia,50257,Toluca
El Durazno,Colonia,50255,Toluca
El Front¢n,Colonia,50254,Toluca
El Mirador,Colonia,50254,Toluca
El Mirador,Colonia,50255,Toluca
El Mogote,Colonia,50018,Toluca
El Mogote,Colonia,50254,Toluca
El Mostrante,Colonia,50258,Toluca
El Olimpo,Fraccionamiento,50240,Toluca
El Pac¡fico,Colonia,50260,Toluca
El Refugio,Colonia,50255,Toluca
El Rosario,Colonia,50258,Toluca
El Seminario 1a Secci¢n,Colonia,50170,Toluca
El Seminario 2a Secci¢n,Colonia,50170,Toluca
El Seminario 3a Secci¢n,Colonia,50170,Toluca
El Seminario 4a Secci¢n,Colonia,50170,Toluca
El Seminario 5a Secci¢n,Colonia,50170,Toluca
El Tejocote,Colonia,50010,Toluca
El Tepetate,Colonia,50286,Toluca
El Trigo,Fraccionamiento,50100,Toluca
Electricistas Locales,Colonia,50040,Toluca
Emiliano Zapata,Colonia,50190,Toluca
Eva S mano de L¢pez Mateos,Colonia,50190,Toluca
Ex-Hacienda San Jorge,Colonia,50100,Toluca
Federal (Adolfo L¢pez Mateos),Colonia,50120,Toluca
Fidel Vel zquez,Unidad habitacional,50070,Toluca
Francisco Murgu¡a El Ranchito,Colonia,50130,Toluca
Galaxia Toluca,Fraccionamiento,50295,Toluca
Galaxias de San Lorenzo,Fraccionamiento,50010,Toluca
Geo Villas de la Ind,Unidad habitacional,50228,Toluca
Geo Villas de la Ind. II,Fraccionamiento,50228,Toluca
Geovillas Centenario,Fraccionamiento,50225,Toluca
Geovillas de San Mateo,Fraccionamiento,50227,Toluca
Geovillas los Cedros,Unidad habitacional,50228,Toluca
Gran Morada,Fraccionamiento,50010,Toluca
Granjas,Colonia,50120,Toluca
Guadalupe,Colonia,50010,Toluca
Guadalupe,Colonia,50255,Toluca
Guadalupe,Colonia,50258,Toluca
Guadalupe,Colonia,50265,Toluca
Guadalupe San Buenaventura,Colonia,50110,Toluca
Guadalupe Totoltepec,Barrio,50235,Toluca
Hacienda del Valle I,Fraccionamiento,50210,Toluca
Hacienda del Valle II,Fraccionamiento,50210,Toluca
Hacienda La Galia,Fraccionamiento,50245,Toluca
Hacienda San Agust¡n,Fraccionamiento,50010,Toluca
Hacienda San Jos‚,Residencial,50210,Toluca
Hermanos de la Vega,Colonia,50180,Toluca
H‚roes del 5 de Mayo,Colonia,50170,Toluca
Huitzila,Barrio,50060,Toluca
Independencia,Colonia,50070,Toluca
Isidro Fabela 1a Secci¢n,Colonia,50170,Toluca
